53,Petunia Dursley,this is what we're going to do is that when we go out we're going to buy you two new presents!
54,Petunia Dursley,how's that pumpkin?
55,Petunia Dursley,this will be a lovely day at the zoo.
56,Petunia Dursley,i'm really looking forward to it.
57,Vernon Dursley,i'm warning you now boy.
58,Vernon Dursley,any funny business any at all and you won't have any meals for a week.
59,Vernon Dursley,get in.
60,Dudley Dursley,make it move.
61,Vernon Dursley,move!
62,Dudley Dursley,move!
63,Harry Potter,he's asleep!
64,Dudley Dursley,he's boring.
65,Harry Potter,sorry about him.
66,Harry Potter,he doesn't understand what it's like lying there day after day having people press their ugly faces in on you.
67,Harry Potter,can you...hear me?
68,Harry Potter,it's just...i've never talked to a snake before.
69,Harry Potter,do you...i mean...do you talk to people often?
70,Harry Potter,you're from burma aren't you?
71,Harry Potter,was it nice there do you miss your family?
72,Harry Potter,i see.
73,Harry Potter,that's me as well.
74,Harry Potter,i never knew my parents either.
75,Dudley Dursley,mummy dad come here!
76,Dudley Dursley,you won't believe what this snake is doing!
77,Dudley Dursley,whoa!
78,Dudley Dursley,ahh!
79,Dudley Dursley,ahh!
81,Snake,thanks.
82,Harry Potter,anytime.
83,Man,snake!
84,Dudley Dursley,mum mummy!
85,Petunia Dursley,ahh!
86,Dudley Dursley,mum help!
87,Dudley Dursley,help me!
88,Petunia Dursley,my darling boy!
89,Petunia Dursley,how did you get in there?!
90,Petunia Dursley,how did you get in there?
91,Petunia Dursley,dursley oh dursley!
92,Petunia Dursley,it's all right.
93,Petunia Dursley,it's all right.
94,Harry Potter,ow!
95,Vernon Dursley,what happened?
97,Harry Potter,i swear i don't know!
98,Harry Potter,one minute the glass was there and then it was gone!
99,Harry Potter,it was like magic!
100,Vernon Dursley,there's no such thing as magic!
101,Petunia Dursley,awww smile.
102,Petunia Dursley,vernon just look at him.
103,Petunia Dursley,i can't believe it.
104,Petunia Dursley,in just a week you'll be off to smeltings.
105,Vernon Dursley,caveat smeltona.
106,Vernon Dursley,proudest moment of my life.
107,Harry Potter,will i have to wear that too?
108,Petunia Dursley,what you?
109,Petunia Dursley,go to smeltings?
110,Vernon Dursley,ha!
111,Petunia Dursley,oh don't be so stupid you're going to the state school where you belong.
112,Petunia Dursley,and this is what you're gonna be wearing when i've finished dyeing it.
113,Harry Potter,but that's dudley's old uniform.
114,Harry Potter,it'll fit me like bits of old elephant skin.
115,Petunia Dursley,it'll fit you well enough.
116,Petunia Dursley,go get the post.
117,Petunia Dursley,go!
118,Vernon Dursley,oh marge is ill!
119,Vernon Dursley,ate a funny whelk.
120,Dudley Dursley,dad!
121,Dudley Dursley,look!
122,Dudley Dursley,harry's got a letter!
123,Harry Potter,hey give it back!
124,Harry Potter,it's mine!
125,Vernon Dursley,yours?
126,Vernon Dursley,who'd be writing to you?
127,Vernon Dursley,no more mail through this letterbox.
128,Petunia Dursley,have a lovely day at the office dear.
129,Vernon Dursley,shoo!
130,Vernon Dursley,go on!
131,Vernon Dursley,fine day sunday.
132,Vernon Dursley,in my opinion best day of the week.
133,Vernon Dursley,why is that dudley?
134,Harry Potter,because there's no post on sunday?
135,Vernon Dursley,ah right you are harry.
136,Vernon Dursley,no post on sunday.
137,Vernon Dursley,ha!
138,Vernon Dursley,no blasted letters today.
139,Vernon Dursley,no sir.
140,Vernon Dursley,not one single bloody letter not one.
141,Vernon Dursley,no sir not one blasted miserable-
142,Dudley Dursley,ahh!
143,Dudley Dursley,make it stop!
144,Dudley Dursley,please make it stop!
145,Vernon Dursley,go away ahh!
146,Dudley Dursley,what is it?
147,Dudley Dursley,please tell me what's happening!
148,Vernon Dursley,give me that!
149,Vernon Dursley,give me that letter!
150,Harry Potter,get off!
151,Harry Potter,ahh!
152,Vernon Dursley,ahh!
153,Harry Potter,they're my letters!
154,Harry Potter,let go of me!
155,Vernon Dursley,that's it!
156,Vernon Dursley,we're going away!
157,Vernon Dursley,far away!
158,Vernon Dursley,where they can't find us!
159,Dudley Dursley,daddy's gone mad hasn't he?
161,Harry Potter,make a wish harry.
162,Vernon Dursley,who's there?
163,Vernon Dursley,ahh!
164,Rubeus Hagrid,sorry 'bout that.
165,Vernon Dursley,i demand that you leave at once sir!
166,Vernon Dursley,you are breaking and entering!
167,Rubeus Hagrid,dry up dursley you great prune.
168,Rubeus Hagrid,boy i haven't seen you since you was a baby harry but you're a bit more along than i would have expected.
169,Rubeus Hagrid,particularly 'round the middle!
170,Dudley Dursley,i-i-i'm not harry.
171,Harry Potter,i-i am.
172,Rubeus Hagrid,oh well of course you are!
173,Rubeus Hagrid,got something for ya.
174,Rubeus Hagrid,'fraid i might have sat on it at some point!
175,Rubeus Hagrid,i imagine that it'll taste fine just the same.
176,Rubeus Hagrid,ahh.
177,Rubeus Hagrid,baked it myself.
178,Rubeus Hagrid,words and all.
179,Rubeus Hagrid,heh.
180,Harry Potter,thank you!
181,Rubeus Hagrid,it's not every day that your young man turns eleven now is it?
182,Harry Potter,excuse me who are you?
183,Rubeus Hagrid,rubeus hagrid.
184,Rubeus Hagrid,keeper of keys and grounds at hogwarts.
185,Rubeus Hagrid,course you'll know all about hogwarts.
186,Harry Potter,sorry no.
187,Rubeus Hagrid,no?
188,Rubeus Hagrid,blimey harry didn't you ever wonder where your mum and dad learned it all?
189,Harry Potter,learned what?
190,Rubeus Hagrid,you're a wizard harry.
191,Harry Potter,i-i'm a what?
192,Rubeus Hagrid,a wizard.
193,Rubeus Hagrid,and a thumping good one at that i'd wager.
194,Rubeus Hagrid,once you train up a little.
195,Harry Potter,no you've made a mistake.
196,Harry Potter,i can't be...a-a wizard.
197,Harry Potter,i mean i'm just... harry.
198,Harry Potter,just harry.
199,Rubeus Hagrid,well just harry.
200,Rubeus Hagrid,did you ever make anything happen?
201,Rubeus Hagrid,anything you couldn't explain when you were angry or scared?
202,Rubeus Hagrid,ah.
203,Harry Potter,dear mr. potter.
204,Harry Potter,we are pleased to inform you that you have been accepted at hogwarts' school of witchcraft and wizardry.
205,Vernon Dursley,he'll not be going!
206,Vernon Dursley,we swore when we took him in we’d put a stop to this rubbish!
207,Harry Potter,you knew?
208,Harry Potter,you knew all along and you never told me?
209,Petunia Dursley,of course we knew.
210,Petunia Dursley,how could you not be?
211,Petunia Dursley,my perfect sister being who she was.
212,Petunia Dursley,oh my mother and father were so proud the day she got her letter.
213,Petunia Dursley,we have a witch in the family.
214,Petunia Dursley,isn't it wonderful?
215,Petunia Dursley,i was the only one to see her for what she was.
216,Petunia Dursley,a freak!
217,Petunia Dursley,and then she met that potter and then she had you and i knew you'd be just the same just as strange just as ... abnormal.
218,Petunia Dursley,and then if you please she went and got herself blown up.
219,Petunia Dursley,and we got landed with you.
220,Harry Potter,blown up?
221,Harry Potter,you told me my parents died in a car crash!
222,Rubeus Hagrid,a car crash?
223,Rubeus Hagrid,a car crash kill james and lily potter?
224,Petunia Dursley,we had to tell him something.
225,Rubeus Hagrid,it's an outrage!
226,Rubeus Hagrid,it's a scandal!
227,Vernon Dursley,he'll not be going!
228,Rubeus Hagrid,oh and i suppose a great muggle like yourself's going to stop him are you?
229,Harry Potter,muggle?
230,Rubeus Hagrid,non magic folk.
231,Rubeus Hagrid,this boy's had his name down ever since he was born!
232,Rubeus Hagrid,he's going to the finest school of witchcraft and wizardry in the world and he'll be under the finest headmaster that hogwarts has ever seen: albus dumbledore.
233,Vernon Dursley,i will not pay for some crackpot old fool to teach him magic tricks!
234,Rubeus Hagrid,never insult albus dumbledore in front of me.
235,Dudley Dursley,ahh!
236,Rubeus Hagrid,oh um i'd appreciate if you didn't tell anyone at hogwarts about that.
237,Rubeus Hagrid,strictly speaking i'm not allowed to do magic.
238,Harry Potter,okay.
239,Rubeus Hagrid,ooh we're a bit behind schedule.
240,Rubeus Hagrid,best be off.
241,Rubeus Hagrid,unless you'd rather stay of course.
242,Rubeus Hagrid,hmm?
243,Harry Potter,first year students will require: three sets of work robes one wand.
244,Rubeus Hagrid,essential bit of equipment harry.
245,Harry Potter,one pair of dragon-hide gloves.
246,Harry Potter,hagrid do they mean for a real dragon?
247,Rubeus Hagrid,well they don't mean for a penguin do they?
248,Rubeus Hagrid,heh.
249,Rubeus Hagrid,crikey but not a dragon.
250,Harry Potter,but you like a dragon?
251,Rubeus Hagrid,fast and misunderstood beasts harry.
252,Rubeus Hagrid,fast and misunderstood.
253,Harry Potter,all students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl a cat or a toad.
254,Harry Potter,could we find all this in london?
255,Rubeus Hagrid,if you know where to go.
256,Tom,ah hagrid!
257,Tom,the usual i presume?
258,Rubeus Hagrid,no thanks tom.
259,Rubeus Hagrid,i'm on official hogwarts business today.
260,Rubeus Hagrid,just helping young harry here buy his school supplies.
261,Tom,bless my soul.
262,Tom,it's harry potter.
263,Man,welcome back mr. potter welcome back.
264,Witch,doris crockford mr. potter.
265,Witch,i can't believe i'm meeting you at last.
266,Quirinus Quirrell,harry p-potter.
267,Quirinus Quirrell,c-can't tell you how pleased i am to meet you.
268,Rubeus Hagrid,hello professor.
269,Rubeus Hagrid,i didn't see you there.
270,Rubeus Hagrid,harry this is professor quirrell.
271,Rubeus Hagrid,he'll be your defense against the dark arts teacher at hogwarts.
272,Harry Potter,oh nice to meet you.
273,Quirinus Quirrell,f-fearfully fascinating subject.
274,Quirinus Quirrell,n-not that you need it e-eh potter?
275,Quirinus Quirrell,heheh.
276,Rubeus Hagrid,yes well must be going now.
277,Rubeus Hagrid,lots to buy.
278,Rubeus Hagrid,heh.
279,Harry Potter,goodbye.
280,Rubeus Hagrid,see harry you're famous!
281,Harry Potter,but why am i famous hagrid?
282,Harry Potter,all those people back there how is it they know who i am?
283,Rubeus Hagrid,i'm not exactly sure i'm the right person to tell you that harry.
284,Rubeus Hagrid,welcome harry to diagon alley.
285,Rubeus Hagrid,here's where you'll get your quills and ink and over there all your bits and bobs for doing your wizardry.
286,Boy,it's a world class racing broom.
287,Boy,look at it it’s the new nimbus 2000!
288,Boy,it's the fastest model yet.
289,Harry Potter,but hagrid how am i to pay for all this?
290,Harry Potter,i haven't any money.
291,Rubeus Hagrid,well there's your money harry.
292,Rubeus Hagrid,gringotts the wizard bank.
293,Rubeus Hagrid,t'aint no place safer 'cept perhaps hogwarts.
294,Harry Potter,uh hagrid what exactly are these things?
295,Rubeus Hagrid,they're goblins harry.
296,Rubeus Hagrid,clever as they come goblins but not the most friendly of beasts.
297,Rubeus Hagrid,best stick close to me.
298,Rubeus Hagrid,mr. harry potter wishes to make a withdrawal.
299,Goblin,and does mr. harry potter have his key?
300,Rubeus Hagrid,oh.
301,Rubeus Hagrid,wait a minute.
302,Rubeus Hagrid,got it here somewhere.
303,Rubeus Hagrid,hah.
304,Rubeus Hagrid,there's the little devil.
305,Rubeus Hagrid,oh and there's something else as well.
306,Rubeus Hagrid,professor dumbledore gave me this.
307,Rubeus Hagrid,it's about you-know-what in vault you-know-which.
308,Goblin,very well.
309,Griphook,vault 687. lamp please.
310,Griphook,key please.
311,Rubeus Hagrid,didn't think your mum and dad would leave you with nothing now did ya?
312,Griphook,vault 713.
313,Harry Potter,what's in there hagrid?
314,Rubeus Hagrid,can't tell you harry.
315,Rubeus Hagrid,it's hogwarts business.
316,Rubeus Hagrid,very secret.
317,Griphook,stand back.
318,Rubeus Hagrid,best not mention this to anyone harry.
319,Harry Potter,i still need...a wand.
320,Rubeus Hagrid,a wand?
321,Rubeus Hagrid,well you'll want ollivanders.
322,Rubeus Hagrid,no place better.
323,Rubeus Hagrid,run along there but wait.
324,Rubeus Hagrid,i just got one more thing i got to do.
325,Rubeus Hagrid,won't be long.
326,Harry Potter,hello?
327,Harry Potter,hello?
328,Garrick Ollivander,i wondered when i'd be seeing you mr. potter.
329,Garrick Ollivander,it seems only yesterday that your mother and father were in here buying their first wands.
330,Garrick Ollivander,ah.
331,Garrick Ollivander,here we are.
332,Garrick Ollivander,well give it a wave.
333,Garrick Ollivander,apparently not.
334,Garrick Ollivander,perhaps this.
335,Garrick Ollivander,no no definitely not!
336,Garrick Ollivander,no matter...  i wonder.
337,Garrick Ollivander,curious very curious.
338,Harry Potter,sorry but what's curious?
339,Garrick Ollivander,i remember every wand i've ever sold mr. potter.
340,Garrick Ollivander,it just so happens that the phoenix whose tail feather resides in your wand gave one other feather just one.
341,Garrick Ollivander,it is curious that you should be destined for this wand when its brother gave you that scar.
342,Harry Potter,and...who owned that wand?
343,Garrick Ollivander,oh we do not speak his name.
344,Garrick Ollivander,the wand chooses the wizard mr. potter.
345,Garrick Ollivander,it's not always clear why but i think it is clear that we can expect great things from you.
346,Garrick Ollivander,after all he-who-must-not-be-named did great things...terrible yes but great.
347,Rubeus Hagrid,harry!
348,Rubeus Hagrid,harry!
349,Rubeus Hagrid,happy birthday!
350,Harry Potter,wow.
351,Rubeus Hagrid,you all right harry?
352,Rubeus Hagrid,you seem very quiet.
353,Harry Potter,he killed my parents didn't he?
354,Harry Potter,the one who gave me this.
355,Harry Potter,you know hagrid i know you do.
356,Rubeus Hagrid,first and understand this harry 'cause it's very important.
357,Rubeus Hagrid,not all wizards are good.
358,Rubeus Hagrid,some of them go bad.
359,Rubeus Hagrid,a few years ago there was one wizard who went as bad as you can go.
360,Rubeus Hagrid,and his name was v-...his name was v-...
361,Harry Potter,maybe if you wrote it down?
362,Rubeus Hagrid,no i can't spell it.
363,Rubeus Hagrid,all right.
364,Rubeus Hagrid,voldemort.
365,Harry Potter,voldemort?
366,Rubeus Hagrid,shh!
368,Rubeus Hagrid,it was dark times harry dark times.
369,Rubeus Hagrid,voldemort started to gather some followers brought 'em over to the dark side.
370,Rubeus Hagrid,anyone that stood up to him ended up dead.
371,Rubeus Hagrid,your parents fought against him but nobody lived once he decided to kill 'em.
372,Rubeus Hagrid,nobody...not one.
373,Rubeus Hagrid,‘cept you.
374,Harry Potter,me?
375,Harry Potter,voldemort tried to kill...me?
376,Rubeus Hagrid,yes.
377,Rubeus Hagrid,that ain't no ordinary cut on your forehead harry.
378,Rubeus Hagrid,a mark like that only comes from being touched by a curse...and an evil curse at that.
379,Harry Potter,what happened to...to you-know-who?
380,Rubeus Hagrid,well some say he died.
381,Rubeus Hagrid,codswallop in my opinion.
382,Rubeus Hagrid,nope i reckon he's out there still too tired to go on.
383,Rubeus Hagrid,but one thing's absolutely certain.
384,Rubeus Hagrid,something about you stumped him that night.
385,Rubeus Hagrid,that's why you're famous.
386,Rubeus Hagrid,that's why everybody knows your name.
387,Rubeus Hagrid,you're the boy who lived.
388,Rubeus Hagrid,what're you looking at?
389,Rubeus Hagrid,blimey is that the time?
390,Rubeus Hagrid,sorry harry i'm gonna have to leave you.
391,Rubeus Hagrid,dumbledore'll be wanting his- well he'll be wanting to see me.
392,Rubeus Hagrid,now uh your train leaves in 10 minutes.
393,Rubeus Hagrid,here's your ticket.
394,Rubeus Hagrid,stick to it harry that's very important.
395,Rubeus Hagrid,stick to your ticket.
396,Harry Potter,platform 9¾?
397,Harry Potter,but hagrid there must be a mistake.
398,Harry Potter,this says platform 9¾.
399,Harry Potter,there's no such thing...is there?
400,Man,sorry.
401,Harry Potter,excuse me excuse me.
402,Guard,right on your left ma'am.
403,Harry Potter,excuse me sir.
404,Harry Potter,can you tell me where i might find platform 9¾?
405,Guard,9¾?
406,Guard,think you're being funny do ya?
407,Molly Weasley,it's the same year after year.
408,Molly Weasley,always packed with muggles of course.
409,Harry Potter,muggles?
410,Molly Weasley,come on.
411,Molly Weasley,platform 9¾ this way!
412,Molly Weasley,all right percy you first.
413,Molly Weasley,fred you next.
414,George Weasley,he's not fred i am!
415,Fred Weasley,honestly woman you call yourself our mother.
416,Molly Weasley,oh i'm sorry george.
417,Fred Weasley,i'm only joking.
418,Fred Weasley,i am fred.
419,Harry Potter,excuse me!
420,Harry Potter,c-could you tell me how to-
421,Molly Weasley,how to get on the platform?
422,Molly Weasley,yes not to worry dear.
423,Molly Weasley,it's ron's first time to hogwarts as well.
424,Molly Weasley,now all you've got to do is walk straight at the wall between platforms 9 and 10. best do it at a bit of a run if you're nervous.
425,Ginny Weasley,good luck.
426,Ron Weasley,excuse me do you mind?
427,Ron Weasley,everywhere else is full.
428,Harry Potter,no not at all.
429,Ron Weasley,i'm ron by the way.
430,Ron Weasley,ron weasley.
431,Harry Potter,i'm harry.
432,Harry Potter,harry potter.
433,Ron Weasley,so-so it's true?
434,Ron Weasley,i mean do you really have the...the...
435,Harry Potter,the what?
436,Ron Weasley,scar...?
437,Harry Potter,oh
438,Ron Weasley,wicked.
439,Woman,anything off the trolley dears?
440,Ron Weasley,no thanks i'm all set.
441,Harry Potter,we'll take the lot!
442,Ron Weasley,whoa!
443,Harry Potter,bertie bott's every flavour beans?
444,Ron Weasley,they mean every flavour!
445,Ron Weasley,there's chocolate and peppermint and there's also spinach liver and tripe.
446,Ron Weasley,george sweared he got a bogey-flavoured one once!
447,Harry Potter,these aren't real chocolate frogs are they?
448,Ron Weasley,it's just a spell.
449,Ron Weasley,besides it's the cards you want.
450,Ron Weasley,each pack's got a famous witch or wizard.
451,Ron Weasley,i got about 500 meself.
452,Ron Weasley,watch it!
453,Ron Weasley,oh that's rotten luck.
454,Ron Weasley,they've only got one good jump in them to begin with.
455,Harry Potter,i got dumbledore!
456,Ron Weasley,i got about 6 of him.
457,Harry Potter,hey he's gone!
458,Ron Weasley,well you can't expect him to hang around all day can you?
459,Ron Weasley,this is scabbers by the way pathetic isn't he?
460,Harry Potter,a little.
461,Ron Weasley,fred gave me a spell as to turn him yellow.
462,Ron Weasley,want to see?
463,Harry Potter,yeah!
464,Ron Weasley,ahem.
465,Ron Weasley,sun-
466,Hermione Granger,has anyone seen a toad?
467,Hermione Granger,a boy named neville's lost one.
468,Ron Weasley,no.
469,Hermione Granger,oh are you doing magic?
470,Hermione Granger,let's see then.
471,Ron Weasley,sunshine daises butter mellow turn this stupid fat rat yellow!
472,Hermione Granger,are you sure that's a real spell?
473,Hermione Granger,well it's not very good is it?
474,Hermione Granger,of course i've only tried a few simple spells myself and they've all worked for me.
475,Hermione Granger,for example...  oculus reparo.
476,Hermione Granger,that's better isn't it?
477,Hermione Granger,holy cricket you're harry potter.
478,Hermione Granger,i'm hermione granger...and you are...?
479,Ron Weasley,i'm...ron weasley.
480,Hermione Granger,pleasure.
481,Hermione Granger,you two better change into your robes.
482,Hermione Granger,i expect we'll be arriving soon.
483,Hermione Granger,you've got dirt on your nose by the way did you know?
484,Hermione Granger,just there.
485,Rubeus Hagrid,right then!
486,Rubeus Hagrid,first years!
487,Rubeus Hagrid,this way please!
488,Rubeus Hagrid,come on now don't be shy!
489,Rubeus Hagrid,come on now hurry up!
490,Rubeus Hagrid,hello harry.
491,Harry Potter,hey hagrid.
492,Ron Weasley,whoaa!
493,Rubeus Hagrid,right then.
494,Rubeus Hagrid,this way to the boats!
495,Rubeus Hagrid,come on now follow me.
496,Ron Weasley,wicked.
497,Minerva McGonagall,welcome to hogwarts.
498,Minerva McGonagall,now in a few moments you will pass through these doors and join your classmates.
499,Minerva McGonagall,but before you can take your seats you must be sorted into your houses.
500,Minerva McGonagall,they are gryffindor hufflepuff ravenclaw and slytherin.
501,Minerva McGonagall,now while you’re here your house will be like your family.
502,Minerva McGonagall,your triumphs will earn you house points.
503,Minerva McGonagall,any rule breaking and you will lose points.
504,Minerva McGonagall,at the end of the year the house with the most points is awarded the house cup.
505,Neville Longbottom,trevor!
506,Neville Longbottom,sorry.
507,Minerva McGonagall,the sorting ceremony will begin momentarily.
508,Draco Malfoy,it's true then what they're saying on the train.
509,Draco Malfoy,harry potter has come to hogwarts.
510,Draco Malfoy,this is crabbe and goyle.
511,Draco Malfoy,and i'm malfoy...draco malfoy.
512,Draco Malfoy,think my name's funny do you?
513,Draco Malfoy,no need to ask yours.
514,Draco Malfoy,red hair and a hand-me-down robe?
515,Draco Malfoy,you must be a weasley.
516,Draco Malfoy,well soon find that some wizarding families are better than others potter.
517,Draco Malfoy,don’t want to go making friends with the wrong sort.
518,Draco Malfoy,i can help you there.
519,Harry Potter,i think i can tell who the wrong sort are for myself thanks.
520,Minerva McGonagall,we're ready for you now.
521,Minerva McGonagall,follow me.
522,Hermione Granger,it's not real the ceiling.
523,Hermione Granger,it's just bewitched to look like the night sky.
524,Hermione Granger,i read about it in hogwarts: a history.
525,Minerva McGonagall,will you wait along here please?
526,Minerva McGonagall,now before we begin professor dumbledore would like to say a few words.
527,Albus Dumbledore,i have a few start of term notices i wish to announce.
528,Albus Dumbledore,the first years please note that the dark forest is strictly forbidden to all students.
529,Albus Dumbledore,also our caretaker mr. filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death.
530,Albus Dumbledore,thank you.
531,Minerva McGonagall,when i call your name you will come forth i shall place the sorting hat on your head and you will be sorted into your houses.
532,Minerva McGonagall,hermione granger.
533,Hermione Granger,oh no.
534,Hermione Granger,okay relax.
535,Ron Weasley,mental that one i'm telling you.
536,Sorting Hat,ah right then...hmm...right.
537,Sorting Hat,okay...gryffindor!
539,Minerva McGonagall,draco malfoy.
540,Sorting Hat,slytherin!
541,Ron Weasley,there isn't a witch or wizard who went bad who wasn’t in slytherin.
542,Minerva McGonagall,susan bones.
543,Harry Potter,ahh!
544,Ron Weasley,harry what is it?
545,Harry Potter,nothing... nothing i'm fine.
546,Sorting Hat,let's see...i know...hufflepuff!
547,Minerva McGonagall,ronald weasley.
548,Sorting Hat,ha!
549,Sorting Hat,another weasley.
550,Sorting Hat,i know just what to do with you...
551,Sorting Hat,gryffindor!
553,Minerva McGonagall,harry potter.
554,Sorting Hat,hmm...difficult very difficult.
555,Sorting Hat,plenty of courage i see not a bad mind either.
556,Sorting Hat,there's talent oh yes and a thirst to prove yourself.
557,Sorting Hat,but where to put you?
558,Harry Potter,not slytherin.
559,Harry Potter,not slytherin.
560,Sorting Hat,not slytherin eh?
561,Sorting Hat,are you sure?
562,Sorting Hat,you could be great you know.
563,Sorting Hat,it’s all here in your head.
564,Sorting Hat,and slytherin will help you on the way to greatness!
565,Sorting Hat,there's no doubt about that.
566,Sorting Hat,no?
567,Harry Potter,not slytherin...anything but slytherin.
568,Sorting Hat,well if you're sure... better be...
569,Sorting Hat,gryffindor!
571,Fred Weasley,we got potter!
572,Fred Weasley,we got potter!
573,George Weasley,we got potter!
574,George Weasley,we got potter!
575,Minerva McGonagall,your attention please.
576,Albus Dumbledore,let the feast...begin.
577,Harry Potter,wow.
578,Seamus Finnigan,i'm half and half.
579,Seamus Finnigan,me dad's a muggle.
580,Seamus Finnigan,mam's a witch.
581,Seamus Finnigan,bit of a nasty shock for him when he found out.
582,Harry Potter,say percy who's that teacher talking to professor quirrell?
583,Percy Weasley,oh that's professor snape head of slytherin house.
584,Harry Potter,what's he teach?
585,Percy Weasley,potions.
586,Percy Weasley,but everyone knows it's the dark arts he fancies.
587,Percy Weasley,he's been after quirrell’s job for years.
588,Ron Weasley,ahh!
589,Nearly Headless Nick,hello!
590,Nearly Headless Nick,how are you?
591,Nearly Headless Nick,welcome to gryffindor.
592,Bloody Baron,whoo-hoo-hoo!
593,Girl,look it’s the bloody baron!
594,Percy Weasley,hello sir nicholas.
595,Percy Weasley,have a nice summer?
596,Nearly Headless Nick,dismal.
597,Nearly Headless Nick,once again my request to join the headless hunt has been denied.
598,Ron Weasley,i know you!
599,Ron Weasley,you're nearly headless nick!
600,Nearly Headless Nick,i prefer sir nicholas if you don't mind.
601,Hermione Granger,nearly headless?
602,Hermione Granger,how can you be nearly headless?
603,Nearly Headless Nick,like this.
604,Ron Weasley,ahh!
605,Percy Weasley,gryffindors follow me please.
606,Percy Weasley,keep up.
607,Percy Weasley,thank you.
608,Boy,ravenclaws follow me.
609,Boy,this way.
610,Percy Weasley,this is the most direct path to the dormitories.
611,Percy Weasley,oh and keep an eye on the staircases...they like to change.
612,Percy Weasley,keep up please and follow me.
613,Percy Weasley,quickly now come on.
614,Percy Weasley,come on.
615,Neville Longbottom,seamus that picture's moving!
616,Ron Weasley,look at that one harry!
617,Harry Potter,i think she fancies you.
618,Girl,oh look!
619,Girl,look!
620,Girl,who's that girl?
621,Man in a painting,welcome to hogwarts.
622,Girl,who's that?
623,The Fat Lady,password?
624,Percy Weasley,caput draconis.
625,Percy Weasley,follow me everyone.
626,Percy Weasley,keep up quickly come on.
627,Girl,oh wow.
628,Percy Weasley,gather 'round here.
629,Percy Weasley,welcome to the gryffindor common room.
630,Percy Weasley,boy's dormitories upstairs and down to your left.
631,Percy Weasley,girls the same on your right.
632,Percy Weasley,you'll find that your belongings have already been brought up.
633,Ron Weasley,whew we made it.
634,Ron Weasley,can you imagine the look on mcgonagall's face if we were late?
635,Ron Weasley,that was bloody brilliant.
636,Minerva McGonagall,thank you for that assessment mr. weasley.
637,Minerva McGonagall,perhaps if i were to transfigure mr. potter and yourself into a pocketwatch that way one of you might be on time.
638,Harry Potter,we got lost.
639,Minerva McGonagall,then perhaps a map?
640,Minerva McGonagall,i trust you don't need one to find your seats.
641,Severus Snape,there will be no foolish wand waving or silly incantations in this class.
642,Severus Snape,as such i don't expect many of you to appreciate the subtle science and exact art that is potion making.
643,Severus Snape,however for those select few...  who possess the predisposition i can teach you how to bewitch the mind and ensnare the senses.
644,Severus Snape,i can tell you how to bottle fame brew glory and even put a stopper...  in death.
645,Severus Snape,then again maybe some of you have come to hogwarts in possession of abilities so formidable that you feel confidant enough to not...pay...attention.
646,Severus Snape,mr. potter.
647,Severus Snape,our...new...celebrity.
